file,frame,backend,noise_sigma,roi_size,n_gt_daughters,n_pred_daughters,mother_precision,mother_recall,mother_f1,mother_accuracy,mother_iou,daughter_precision,daughter_recall,daughter_f1,daughter_accuracy,daughter_iou,combined_precision,combined_recall,combined_f1,combined_accuracy,combined_iou,daughter_obj_precision,daughter_obj_recall,daughter_obj_f1,daughter_obj_accuracy,tp_objects,fp_objects,fn_objects
Experiment-1324.czi,0,watershed,0.0,full,0,0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,1.0,0.0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,0,active_contour,0.0,full,0,0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,1.0,0.0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,0,stardist,0.0,full,0,0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,1.0,0.0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,0,cellpose,0.0,full,0,0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,1.0,0.0,0.938262358228119,1.0,0.968147943693072,0.9867405092379814,0.938262358228119,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,86,watershed,0.0,full,0,0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,1.0,0.0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,86,active_contour,0.0,full,0,0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,1.0,0.0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,86,stardist,0.0,full,0,1,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,0.0,1.0,0.0,0.9249471458773785,0.0,0.9499601833717152,0.9993434011818779,0.9740262606201037,0.9891809908998989,0.9493676331411856,0.0,1.0,0.0,0.0,0,1,0
Experiment-1324.czi,86,cellpose,0.0,full,0,0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,1.0,0.0,0.9519875763000669,0.9993207598433219,0.9750800839500718,0.9896313999448478,0.9513719742202488,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,171,watershed,0.0,full,0,0,0.9347533978016168,1.0,0.9662765279169324,0.9863866164169501,0.9347533978016168,1.0,1.0,1.0,1.0,0.0,0.9347533978016168,1.0,0.9662765279169324,0.9863866164169501,0.9347533978016168,1.0,1.0,1.0,0.0,0,0,0
Experiment-1324.czi,171,active_contour,0.0,full,0,0,0.9347533978016168,1.0,0.9662765279169324,0.9863866164169501,0.9347533978016168,1.0,1.0,1.0,1.0,0.0,0.9347533978016168,1.0,0.9662765279169324,0.9863866164169501,0.9347533978016168,1.0,1.0,1.0,0.0,0,0,0
